,Date,Open,High,Low,Close,Adj Close,Volume
52,"Jan 28, 2020",163.78,165.76,163.07,165.46,165.01,"24,899,900"
53,"Jan 27, 2020",161.15,163.38,160.20,162.28,161.84,"32,078,100"
54,"Jan 24, 2020",167.51,167.53,164.45,165.04,164.59,"24,918,100"
55,"Jan 23, 2020",166.19,166.80,165.27,166.72,166.27,"19,680,800"
56,"Jan 22, 2020",167.40,167.49,165.68,165.70,165.25,"24,138,800"
57,"Jan 21, 2020",166.68,168.19,166.43,166.50,166.05,"29,517,200"
58,"Jan 17, 2020",167.42,167.47,165.43,167.10,166.64,"34,371,700"
59,"Jan 16, 2020",164.35,166.24,164.03,166.17,165.72,"23,865,400"
60,"Jan 15, 2020",162.62,163.94,162.57,163.18,162.74,"21,417,900"
61,"Jan 14, 2020",163.39,163.60,161.72,162.13,161.69,"23,477,400"
62,"Jan 13, 2020",161.76,163.31,161.26,163.28,162.84,"21,626,500"
63,"Jan 10, 2020",162.82,163.22,161.18,161.34,160.90,"20,725,900"
64,"Jan 09, 2020",161.84,162.22,161.03,162.09,161.65,"21,385,000"
65,"Jan 08, 2020",158.93,160.80,157.95,160.09,159.65,"27,746,500"
66,"Jan 07, 2020",159.32,159.67,157.32,157.58,157.15,"21,634,100"
67,"Jan 06, 2020",157.08,159.10,156.51,159.03,158.60,"20,813,700"
68,"Jan 03, 2020",158.32,159.95,158.06,158.62,158.19,"21,116,200"
69,"Jan 02, 2020",158.78,160.73,158.33,160.62,160.18,"22,622,100"
70,"Dec 31, 2019",156.77,157.77,156.45,157.70,157.27,"18,369,400"
71,"Dec 30, 2019",158.99,159.02,156.73,157.59,157.16,"16,348,400"
72,"Dec 27, 2019",159.45,159.55,158.22,158.96,158.53,"18,412,800"
73,"Dec 26, 2019",157.56,158.73,157.40,158.67,158.24,"14,520,600"
74,"Dec 24, 2019",157.48,157.71,157.12,157.38,156.95,"8,989,200"
75,"Dec 23, 2019",158.12,158.12,157.27,157.41,156.98,"17,718,200"
76,"Dec 20, 2019",157.35,158.49,156.29,157.41,156.98,"53,477,500"
77,"Dec 19, 2019",154.00,155.77,153.75,155.71,155.29,"24,958,900"
78,"Dec 18, 2019",154.30,155.48,154.18,154.37,153.95,"24,129,200"
79,"Dec 17, 2019",155.45,155.71,154.45,154.69,154.27,"25,425,600"
80,"Dec 16, 2019",155.11,155.90,154.82,155.53,155.11,"24,144,200"
81,"Dec 13, 2019",153.00,154.89,152.83,154.53,154.11,"23,845,400"
82,"Dec 12, 2019",151.65,153.44,151.02,153.24,152.82,"24,612,100"
83,"Dec 11, 2019",151.54,151.87,150.33,151.70,151.29,"18,856,600"
84,"Dec 10, 2019",151.29,151.89,150.76,151.13,150.72,"16,476,100"
85,"Dec 09, 2019",151.07,152.21,150.91,151.36,150.95,"16,687,400"
86,"Dec 06, 2019",150.99,151.87,150.27,151.75,151.34,"16,403,500"
87,"Dec 05, 2019",150.05,150.32,149.48,149.93,149.52,"17,869,100"
88,"Dec 04, 2019",150.14,150.18,149.20,149.85,149.44,"17,574,700"
89,"Dec 03, 2019",147.49,149.43,146.65,149.31,148.90,"24,066,000"
90,"Dec 02, 2019",151.81,151.83,148.32,149.55,149.14,"27,418,400"
91,"Nov 29, 2019",152.10,152.30,151.28,151.38,150.97,"11,977,300"
92,"Nov 27, 2019",152.33,152.50,151.52,152.32,151.91,"15,184,400"
93,"Nov 26, 2019",151.36,152.42,151.32,152.03,151.62,"24,620,100"
94,"Nov 25, 2019",150.00,151.35,149.92,151.23,150.82,"22,420,900"
95,"Nov 22, 2019",150.07,150.30,148.82,149.59,149.18,"15,901,800"
96,"Nov 21, 2019",149.40,149.80,148.50,149.48,149.07,"18,576,100"
97,"Nov 20, 2019",150.31,150.84,148.46,149.62,149.21,"25,696,800"
98,"Nov 20, 2019",0.51 Dividend,,,,,
99,"Nov 19, 2019",150.88,151.33,150.20,150.39,149.47,"23,935,700"
